Customer	Interarrival	Arrival_Time	Start_Service_Time	End_Service_Time	Queue_Waiting_Time	Service_Time	Total_Time_in_the_System	Idle_Time_of_Server
1	0.000000	08:31:00	08:31:00	08:33:25	0.000000	0.001678	0.001678	0.000000
2	0.000266	08:31:23	08:33:30	08:33:47	0.001470	0.000197	0.001667	0.000058
3	0.001817	08:34:00	08:34:45	08:36:00	0.000521	0.000868	0.001389	0.000671
4	0.002373	08:37:25	08:38:00	08:39:40	0.000405	0.001157	0.001563	0.001389
5	0.000104	08:37:34	08:39:44	08:40:20	0.001505	0.000417	0.001921	0.000046
6	0.001076	08:39:07	08:40:23	08:40:47	0.000880	0.000278	0.001157	0.000035
7	0.002731	08:43:03	08:43:07	08:45:00	0.000046	0.001308	0.001354	0.001620
8	0.000660	08:44:00	08:44:30	08:46:12	0.000347	0.001181	0.001528	0.000000
9	0.007639	08:55:00	08:55:10	08:56:00	0.000116	0.000579	0.000694	0.006227
10	0.000694	08:56:00	08:57:10	08:57:58	0.000810	0.000556	0.001366	0.000810
11	0.002593	08:59:44	09:00:00	09:00:30	0.000185	0.000347	0.000532	0.001412
12	0.003368	09:04:35	09:04:39	09:05:00	0.000046	0.000243	0.000289	0.002882
13	0.000023	09:04:37	09:05:14	09:06:00	0.000428	0.000532	0.000961	0.000162
14	0.001169	09:06:18	09:06:35	09:07:39	0.000197	0.000741	0.000938	0.000405
15	0.000486	09:07:00	09:07:40	09:08:50	0.000463	0.000810	0.001273	0.000012
16	0.000694	09:08:00	09:09:03	09:10:13	0.000729	0.000810	0.001539	0.000150
17	0.000058	09:08:05	09:10:14	09:10:21	0.001493	0.000081	0.001574	0.000012
18	0.000637	09:09:00	09:10:20	09:10:26	0.000926	0.000069	0.000995	0.000000
19	0.000243	09:09:21	09:10:27	09:10:30	0.000764	0.000035	0.000799	0.000012
20	0.000683	09:10:20	09:10:31	09:11:00	0.000127	0.000336	0.000463	0.000012
21	0.000023	09:10:22	09:11:03	09:11:30	0.000475	0.000313	0.000787	0.000035
22	0.000833	09:11:34	09:11:35	09:12:00	0.000012	0.000289	0.000301	0.000058
23	0.001748	09:14:05	09:14:05	09:15:00	0.000000	0.000637	0.000637	0.001447
24	0.001609	09:16:24	09:16:25	09:17:18	0.000012	0.000613	0.000625	0.000984
25	0.000035	09:16:27	09:18:20	09:19:00	0.001308	0.000463	0.001771	0.000718
26	0.000185	09:16:43	09:19:14	09:19:59	0.001748	0.000521	0.002269	0.000162
27	0.002558	09:20:24	09:20:29	09:21:36	0.000058	0.000775	0.000833	0.000347
28	0.001308	09:22:17	09:22:38	09:23:15	0.000243	0.000428	0.000671	0.000718
29	0.000069	09:22:23	09:23:16	09:24:00	0.000613	0.000509	0.001123	0.000012
30	0.000023	09:22:25	09:24:02	09:25:30	0.001123	0.001019	0.002141	0.000023
31	0.001146	09:24:04	09:25:31	09:26:03	0.001007	0.000370	0.001377	0.000012
32	0.000810	09:25:14	09:26:05	09:26:30	0.000590	0.000289	0.000880	0.000023
33	0.000069	09:25:20	09:26:32	09:27:12	0.000833	0.000463	0.001296	0.000023
34	0.000810	09:26:30	09:27:13	09:28:00	0.000498	0.000544	0.001042	0.000012
35	0.000023	09:26:32	09:28:03	09:28:50	0.001053	0.000544	0.001597	0.000035
36	0.000683	09:27:31	09:28:55	09:29:00	0.000972	0.000058	0.001030	0.000058
37	0.000000	09:27:31	09:29:06	09:29:20	0.001100	0.000162	0.001262	0.000069
38	0.000567	09:28:20	09:29:21	09:29:42	0.000706	0.000243	0.000949	0.000012
39	0.000706	09:29:21	09:29:43	09:30:00	0.000255	0.000197	0.000451	0.000012
40	0.000023	09:29:23	09:30:01	09:30:25	0.000440	0.000278	0.000718	0.000012
41	0.000093	09:29:31	09:30:26	09:30:50	0.000637	0.000278	0.000914	0.000012
42	0.000324	09:29:59	09:30:51	09:30:55	0.000602	0.000046	0.000648	0.000012
43	0.000012	09:30:00	09:30:59	09:31:05	0.000683	0.000069	0.000752	0.000046
44	0.000694	09:31:00	09:31:06	09:31:20	0.000069	0.000162	0.000231	0.000012
45	0.002338	09:34:22	09:34:25	09:35:00	0.000035	0.000405	0.000440	0.002141
46	0.000127	09:34:33	09:35:02	09:35:19	0.000336	0.000197	0.000532	0.000023
47	0.000313	09:35:00	09:35:20	09:35:27	0.000231	0.000081	0.000313	0.000012
48	0.000058	09:35:05	09:35:28	09:36:00	0.000266	0.000370	0.000637	0.000012
49	0.001563	09:37:20	09:37:25	09:37:50	0.000058	0.000289	0.000347	0.000984
50	0.000012	09:37:21	09:37:51	09:38:00	0.000347	0.000104	0.000451	0.000012
51	0.000694	09:38:21	09:38:22	09:38:40	0.000012	0.000208	0.000220	0.000255
52	0.000035	09:38:24	09:38:42	09:38:53	0.000208	0.000127	0.000336	0.000023
53	0.000081	09:38:31	09:38:53	09:39:10	0.000255	0.000197	0.000451	0.000000
54	0.000336	09:39:00	09:39:12	09:39:20	0.000139	0.000093	0.000231	0.000023
55	0.000150	09:39:13	09:39:22	09:39:34	0.000104	0.000139	0.000243	0.000023
