Customer,Arrival_Time,Start_Service_Time,End_Service_Time,,,,,
1,08:31:00,08:31:00,08:33:25,,,,,
2,08:31:23,08:33:30,08:33:47,,,,,
3,08:34:00,08:34:45,08:36:00,,,,,
4,08:37:25,08:38:00,08:39:40,,,,,
5,08:37:34,08:39:44,08:40:20,,,,,
6,08:39:07,08:40:23,08:40:47,,,,,
7,08:43:03,08:43:07,08:45:00,,,,,
8,08:44:00,08:44:30,08:46:12,,,,,
9,08:55:00,08:55:10,08:56:00,,,,,
10,08:56:00,08:57:10,08:57:58,,,,,
11,08:59:44,09:00:00,09:00:30,,,,,
12,09:04:35,09:04:39,09:05:00,,,,,
13,09:04:37,09:05:14,09:06:00,,,,,
14,09:06:18,09:06:35,09:07:39,,,,,
15,09:07:00,09:07:40,09:08:50,,,,,
16,09:08:00,09:09:03,09:10:13,,,,,
17,09:08:05,09:10:14,09:10:21,,,,,
18,09:09:00,09:10:20,09:10:26,,,,,
19,09:09:21,09:10:27,09:10:30,,,,,
20,09:10:20,09:10:31,09:11:00,,,,,
21,09:10:22,09:11:03,09:11:30,,,,,
22,09:11:34,09:11:35,09:12:00,,,,,
23,09:14:05,09:14:05,09:15:00,,,,,
24,09:16:24,09:16:25,09:17:18,,,,,
25,09:16:27,09:18:20,09:19:00,,,,,
26,09:16:43,09:19:14,09:19:59,,,,,
27,09:20:24,09:20:29,09:21:36,,,,,
28,09:22:17,09:22:38,09:23:15,,,,,
29,09:22:23,09:23:16,09:24:00,,,,,
30,09:22:25,09:24:02,09:25:30,,,,,
31,09:24:04,09:25:31,09:26:03,,,,,
32,09:25:14,09:26:05,09:26:30,,,,,
33,09:25:20,09:26:32,09:27:12,,,,,
34,09:26:30,09:27:13,09:28:00,,,,,
35,09:26:32,09:28:03,09:28:50,,,,,
36,09:27:31,09:28:55,09:29:00,,,,,
37,09:27:31,09:29:06,09:29:20,,,,,
38,09:28:20,09:29:21,09:29:42,,,,,
39,09:29:21,09:29:43,09:30:00,,,,,
40,09:29:23,09:30:01,09:30:25,,,,,
41,09:29:31,09:30:26,09:30:50,,,,,
42,09:29:59,09:30:51,09:30:55,,,,,
43,09:30:00,09:30:59,09:31:05,,,,,
44,09:31:00,09:31:06,09:31:20,,,,,
45,09:34:22,09:34:25,09:35:00,,,,,
46,09:34:33,09:35:02,09:35:19,,,,,
47,09:35:00,09:35:20,09:35:27,,,,,
48,09:35:05,09:35:28,09:36:00,,,,,
49,09:37:20,09:37:25,09:37:50,,,,,
50,09:37:21,09:37:51,09:38:00,,,,,
51,09:38:21,09:38:22,09:38:40,,,,,
52,09:38:24,09:38:42,09:38:53,,,,,
53,09:38:31,09:38:53,09:39:10,,,,,
54,09:39:00,09:39:12,09:39:20,,,,,
55,09:39:13,09:39:22,09:39:34,,,,,
56,09:39:18,09:39:35,09:39:43,,,,,
57,09:39:20,09:39:44,09:39:46,,,,,
58,09:39:23,09:39:47,09:39:59,,,,,
59,09:39:29,09:40:00,09:40:11,,,,,
60,09:39:34,09:40:12,09:40:20,,,,,
61,09:39:40,09:40:23,09:40:32,,,,,
62,09:39:41,09:40:35,09:40:39,,,,,
63,09:39:45,09:40:42,09:40:59,,,,,
64,09:39:49,09:40:51,09:40:56,,,,,
65,09:39:50,09:40:57,09:41:08,,,,,
66,09:39:55,09:41:10,09:41:15,,,,,
67,09:39:56,09:41:16,09:41:30,,,,,
68,09:40:03,09:41:32,09:41:40,,,,,
69,09:40:15,09:41:42,09:42:00,,,,,
70,09:40:17,09:42:04,09:42:13,,,,,
71,09:40:32,09:42:15,09:42:35,,,,,
72,09:40:34,09:42:36,09:42:41,,,,,
73,09:40:50,09:42:44,09:42:57,,,,,
74,09:40:55,09:42:59,09:43:05,,,,,
75,09:41:00,09:43:10,09:43:14,,,,,
76,09:41:30,09:43:15,09:43:20,,,,,
77,09:41:40,09:43:21,09:43:27,,,,,
78,09:41:43,09:43:30,09:43:34,,,,,
79,09:41:45,09:43:35,09:43:40,,,,,
80,09:42:51,09:43:41,09:43:45,,,,,
81,09:42:59,09:43:47,09:43:52,,,,,
82,09:43:00,09:43:59,09:44:05,,,,,
83,09:43:01,09:44:05,09:44:10,,,,,
84,09:43:05,09:44:11,09:44:13,,,,,
85,09:43:30,09:44:13,09:44:20,,,,,
86,09:43:49,09:44:21,09:44:25,,,,,
87,09:44:00,09:44:30,09:44:50,,,,,
88,09:44:30,09:44:55,09:45:00,,,,,
89,09:44:30,09:45:02,09:45:05,,,,,
90,09:44:32,09:45:07,09:45:12,,,,,
91,09:45:10,09:45:20,09:45:23,,,,,
92,09:45:23,09:45:32,09:45:37,,,,,
93,09:45:28,09:45:40,09:45:45,,,,,
94,09:45:29,09:45:46,09:45:50,,,,,
95,09:46:00,09:46:01,09:46:10,,,,,
96,09:46:20,09:46:23,09:46:29,,,,,
97,09:46:22,09:46:30,09:46:35,,,,,
98,09:46:25,09:46:36,09:46:39,,,,,
99,09:46:40,09:46:40,09:46:48,,,,,
100,09:46:43,09:46:59,09:47:10,,,,,
101,09:47:01,09:47:20,09:47:35,,,,,
102,09:47:05,09:47:40,09:47:51,,,,,
103,09:47:18,09:47:55,09:48:13,,,,,
104,09:48:11,09:48:15,09:48:27,,,,,
105,09:53:10,09:53:16,09:53:25,,,,,
106,09:53:23,09:53:30,09:53:45,,,,,
107,09:53:40,09:53:46,09:54:02,,,,,
108,09:53:55,09:54:03,09:54:28,,,,,
109,09:54:15,09:54:43,09:54:55,,,,,
110,09:54:20,09:56:23,09:56:50,,,,,
111,09:54:22,09:56:59,09:57:27,,,,,
112,09:54:44,09:57:30,09:58:06,,,,,
113,09:56:48,09:58:24,09:58:45,,,,,
